dtype,batch_size,seq_len,n_layers,num_gpus,tokens_per_sec,scaled_tokens_per_sec,mfu_pct,loss,mem_alloc_GB,mem_reserved_GB,mean_power_W,mean_gpu_util,mean_mem_bw_util,arith_intensity,error
int8,2,1024,8.0,1.0,44852.5180880093,178780.39920457953,190.69909248488483,5.383003234863281,12.059304448,21.85232384,874.691,90.57142857142857,39.0,6.0,
int8,4,1024,8.0,1.0,59309.4678842911,236405.24093115333,252.16559032656355,8.987274169921875,12.059304448,21.85232384,845.5021999999999,98.3,39.8,6.0,
int8,8,1024,8.0,1.0,74322.57696152,296246.9120021566,315.9967061356337,9.43100357055664,12.059304448,30.844911616,891.7126874999999,89.75,30.375,6.0,
int8,1,2048,8.0,1.0,41271.15121883043,164505.20963075216,175.47222360613566,8.363296508789062,12.059304448,30.844911616,915.12,84.71428571428571,31.0,6.0,
int8,2,2048,8.0,1.0,56521.994472659775,225294.47991823207,240.3141119127809,9.284980773925781,12.059304448,30.844911616,899.4538181818182,96.0909090909091,32.90909090909091,6.0,
int8,4,2048,8.0,1.0,67113.74566067795,267512.78975657525,285.346975740347,9.689685821533203,12.059304448,30.844911616,904.1895555555556,98.33333333333333,29.61111111111111,6.0,
int8,8,2048,8.0,1.0,75855.06190107732,302355.33759225317,322.51236009840335,10.12142562866211,12.059304448,52.168753152,920.4060000000001,93.93333333333334,26.666666666666668,6.0,
int4,1,128,8.0,1.0,4420.148100273805,17618.53906083309,9.396554165777648,2.421438694000244e-08,12.059304448,20.329791488,220.62457142857141,30.857142857142858,13.571428571428571,12.0,
int4,2,128,8.0,1.0,8589.539526866387,34237.571736406484,18.260038259416792,5.508307367563248e-05,12.059304448,20.591935488,314.276,86.0,47.0,12.0,
int4,4,128,8.0,1.0,16510.453863987976,65810.02937361662,35.09868233259554,0.12299346923828125,12.059304448,20.591935488,422.0406,63.2,33.8,12.0,
int4,8,128,8.0,1.0,29850.398545872285,118982.53199464249,63.45735039714267,1.032597541809082,12.059304448,20.591935488,532.799,75.6,41.0,12.0,
int4,1,512,8.0,1.0,16227.160520869136,64680.83308467235,34.49644431182526,0.19139182567596436,12.059304448,20.591935488,656.9852500000001,98.0,48.0,12.0,
int4,2,512,8.0,1.0,29355.821067090725,117011.16532754336,62.40595484135647,1.6456475257873535,12.059304448,20.591935488,711.5084,93.8,48.0,12.0,
int4,4,512,8.0,1.0,44623.19711562276,177866.3346941143,94.8620451701943,5.2665863037109375,12.059304448,20.854079488,776.303,91.28571428571429,43.42857142857143,12.0,
int4,8,512,8.0,1.0,62311.637843966346,248371.77406576063,132.46494616840567,7.808326721191406,12.059304448,21.902655488,844.6139,97.0,37.6,12.0,
int4,1,1024,8.0,1.0,28758.224216560367,114629.16743633068,61.135555966043015,6.56683349609375,12.059304448,21.902655488,851.3268333333332,76.33333333333333,29.333333333333332,12.0,
int4,2,1024,8.0,1.0,44860.53605688757,178812.35851785718,95.36659120952385,6.5465850830078125,12.059304448,21.902655488,820.7358571428573,89.0,40.142857142857146,12.0,
int4,4,1024,8.0,1.0,60800.24467684073,242347.41946333693,129.25195704711302,8.70489501953125,12.059304448,21.902655488,825.9069999999999,96.4,38.9,12.0,
