dtype,batch_size,input_len,output_len,model,num_gpus,total_time_s,total_output_tokens,throughput_tps,throughput_rps,ttft_s_est,tpot_ms,tbt_ms,ttl_s,mean_gpu_util,max_gpu_util,mean_power_W,peak_power_W,mean_mem_util,mean_sm_clock_MHz,mem_bw_util_pct,mem_used_GB,arith_intensity
fp8,16,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.5169506147503853,2048,3961.6937122492777,30.950732126947482,0.15508518442511557,0.17669210465101062,0.17669210465101062,0.5169506147503853,79.0,99,467.73509090909084,472.955,26.545454545454547,1965.0,26.545454545454547,0.0,32.0
fp8,32,512,128,Qwen/Qwen2.5-7B-Instruct,1,0.5465404931455851,4096,7494.41267640699,58.55009903442961,0.1639621479436755,0.09340291630905996,0.09340291630905996,0.5465404931455851,81.18181818181819,99,470.0912727272726,477.141,26.363636363636363,1965.0,26.363636363636363,0.0,64.0
fp8,1,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.4853418916463852,128,263.7316131228569,2.0604032275223196,0.14560256749391556,2.654213469941169,2.654213469941169,0.4853418916463852,96.2,99,491.0952000000001,494.369,32.0,1965.0,32.0,0.0,2.0
fp8,2,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.4942736215889454,256,517.9317463412972,4.046341768291384,0.14828208647668362,1.3515294340322725,1.3515294340322725,0.4942736215889454,93.0,99,490.12520000000006,496.455,31.2,1965.0,31.2,0.0,4.0
fp8,4,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.506040190346539,512,1011.7773445017868,7.90451050392021,0.1518120571039617,0.6918518227394088,0.6918518227394088,0.506040190346539,98.63636363636364,99,474.769090909091,476.694,33.0,1965.0,33.0,0.0,8.0
fp8,8,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.5130679337307811,1024,1995.837066943492,15.59247708549603,0.1539203801192343,0.35073003282377613,0.35073003282377613,0.5130679337307811,76.45454545454545,99,462.4592727272727,475.02,25.0,1965.0,25.0,0.0,16.0
fp8,16,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.5277325008064508,2048,3880.753974542714,30.318390426114952,0.15831975024193526,0.18037731961157988,0.18037731961157988,0.5277325008064508,86.27272727272727,99,468.792090909091,484.207,27.90909090909091,1965.0,27.90909090909091,0.0,32.0
fp8,32,1024,128,Qwen/Qwen2.5-7B-Instruct,1,0.5806943187490106,4096,7053.625061846671,55.10644579567712,0.17420829562470316,0.09923975173933286,0.09923975173933286,0.5806943187490106,91.33333333333333,99,483.2315833333334,497.794,29.333333333333332,1965.0,29.333333333333332,0.0,64.0
fp8,1,2048,128,Qwen/Qwen2.5-7B-Instruct,1,0.49859786685556173,128,256.7199109920785,2.0056243046256133,0.14957936005666853,2.7267070843663532,2.7267070843663532,0.49859786685556173,99.0,99,500.3598,506.328,33.7,1965.0,33.7,0.0,2.0
fp8,2,2048,128,Qwen/Qwen2.5-7B-Instruct,1,0.5041962107643485,256,507.7388416146773,3.9667097001146665,0.15125886322930454,1.3786615138087654,1.3786615138087654,0.5041962107643485,94.27272727272727,99,502.3614545454546,507.678,31.818181818181817,1965.0,31.818181818181817,0.0,4.0
fp8,4,2048,128,Qwen/Qwen2.5-7B-Instruct,1,0.5169562716037035,512,990.4125902403155,7.737598361252465,0.15508688148111105,0.7067761525831884,0.7067761525831884,0.5169562716037035,84.81818181818181,99,482.3222727272727,495.435,28.09090909090909,1965.0,28.09090909090909,0.0,8.0
fp8,8,2048,128,Qwen/Qwen2.5-7B-Instruct,1,0.5296591408550739,1024,1933.3188479422247,15.10405349954863,0.15889774225652217,0.3620716783188982,0.3620716783188982,0.5296591408550739,96.81818181818181,99,475.55990909090906,480.377,31.545454545454547,1965.0,31.545454545454547,0.0,16.0
fp8,16,2048,128,Qwen/Qwen2.5-7B-Instruct,1,0.565383818000555,2048,3622.318033867021,28.2993596395861,0.1696151454001665,0.19324642216815846,0.19324642216815846,0.565383818000555,96.66666666666667,99,493.58,499.479,32.0,1965.0,32.0,0.0,32.0
fp8,32,2048,128,Qwen/Qwen2.5-7B-Instruct,1,0.6612392272800207,4096,6194.429838726781,48.393983115052976,0.1983717681840062,0.11300475075586291,0.11300475075586291,0.6612392272800207,88.42857142857143,99,488.8998571428573,498.19,27.714285714285715,1965.0,27.714285714285715,0.0,64.0
fp8,1,128,256,Qwen/Qwen2.5-7B-Instruct,1,0.9493812322616577,256,269.6493161026004,1.0533176410257827,0.2848143696784973,2.5959643069654703,2.5959643069654703,0.9493812322616577,88.05263157894737,99,479.23673684210524,495.136,30.0,1965.0,30.0,0.0,2.0
fp8,2,128,256,Qwen/Qwen2.5-7B-Instruct,1,0.9566811630502343,512,535.1835279870724,2.0905606561995014,0.28700434891507026,1.3079625276077425,1.3079625276077425,0.9566811630502343,97.0,99,471.30550000000005,475.499,33.2,1965.0,33.2,0.0,4.0
fp8,4,128,256,Qwen/Qwen2.5-7B-Instruct,1,0.9777833605185151,1024,1047.266747776293,4.090885733501144,0.2933350081555545,0.6684065941044537,0.6684065941044537,0.9777833605185151,96.4,99,465.3527,468.334,32.15,1965.0,32.15,0.0,8.0
fp8,8,128,256,Qwen/Qwen2.5-7B-Instruct,1,0.9708256414160132,2048,2109.5446109281343,8.240408636438024,0.29124769242480397,0.3318251704058639,0.3318251704058639,0.9708256414160132,95.0,99,471.8897,473.578,31.85,1965.0,31.85,0.0,16.0
